User ID,4adcda50f964a5203e4121e3,51faddf9498e8f70dbc4ecac,502f74aae4b0a20c88e42396,4d8dc98bd4ec8cfa2cd16189,4e4bd0a2d164d2bc73b1b517,5791c215498e9ef3065bbbe9,4fa8f069e4b022fdec3a6e64,4da9c317a86e771ea713051e,4ebfbf0d9a52cce4f3839b4c,53a45fed498edce8c3127d42,50183eb2e4b0da44820460b9,5278c40f11d2e060c201c02f,4e0e948ac65ba20da2226732,51bdb707498e5023ec45fb66,4d2b47243c795481a65de79b,4c626374edd320a128d3ac29,5022df04e4b0957f27a90245,4dfe1980483b96a3aaab6866,5031ef0ae4b0eed9c4bc8a2b,596634bfca18ea362a9b48a3,51cabeaf498e8e3f40d798bd,50fe7477e4b05cb5867115f8,4c24caee905a0f47c74f6060,4adcda56f964a5205b4321e3,4adcda53f964a520694221e3,4c211b3f9a67a5936c6fda87,598f50d8a8792107169b9d44,542ea9a6498e1a4f902e8b8e,4e675def8877dfcf302031a0,4dfb3c96c65b729732b37b49,53e656f0498ec1fa4dbc51df,50333c83e4b0d660de5fcae7,53f79283498e858857543d04,59c2091b0d173f17f300cd06,4e5170201495fc2ca41b1929,56fe0bc0498ef6ae0be946a8,5048deb6e4b0e98bbf3aef66,5135aade19a9f82f6bd1ecb6,4d5f95651ee8721e0b37a021,57323b3b498eb4d8035837c5,50d365f4e4b08f489865b97d,59e33fda9411f24b070e7428,533f155e498eb244ee7a2582,5320c7cc498e711dc70ae803,4cec74bc82125481a9bb59a1,5790d0b7498e249c95bd8eb0,5992117ac4df1d0c188b181b,59bcee14f79faa5f1e2e264e,53c2bb30498e1bf3540219b4,520960eb11d2a8b4fa263582,4f122e1be4b072565d84ae09,52ec3acb498e603faac1ba39,4d78fa2bece5a1cde7d89da4,4bd1ec4f2572ce72755111ad,4bd1eced2572ce72615211ad,4c93960d533aa093b83db745,5999a2fabcbf7a4289eac3ab,4bd21d0cdce0ce723cba9f28,4ecbdf377ee5319f99f8c732,4d9c288f6e16a143d5a597b8,5992fcba5315936c931e3d55,588f89aa65be58175b903c2b,4bdecf6cfe0e62b576f70506,522cd9d711d259a00699d3dc,4bd1ec492572ce72705111ad,56052a9a498ee6331d16e5ab,578c7d48498e14ebe849e9ae,5068241ae4b05564fc147a72,578ddeeb498ee4b0f5b79310,4bd21d14dce0ce7241ba9f28,4ddc32d7887775ea9c3bea1d,4e29d8c17d8b7deda6bf0cc1,597dbe668496ca0b43ba844f,597dbc6659c4235cb53fe2bf,5783d110498eb1d315f1a8a6,4dfc9702a809d61e2fc03eb0,5705666d498e0480a068d935,4c5aeca204f9be9afef2f260,4adcda61f964a520a84421e3,4c7cad69f56a3704cea50846,55e0591a498e164ef2fc901f,4f8986dce4b0e5ed74829cd9,50f2a29fe4b04c1751e9973a,4e296c831fc7f0a6e149fc32,53fdaadf498e6664d52c53bf,4cb0977caef16dcb6523b254,57ee908c498eb3d80427384f,52ceb86411d2ede213b6a455,577bc707498e9c7c884b6bfe,4e21eb9062e1964dbb6c7ab0,4c1623bcb7b9c928bfe6ad37,503512d9e4b094418c637211,508babcce4b0c2bf3f53f22e,5341ad91498e414982ea8a18,5572eadd498ee60143f6bac7,50693870e4b0c318abbf1e7e,57bb5074498e415d998a9d61,54dcd99c498e5eff7d8ed43e,59674a04ff190265e8d2b5ca,597056f935811b1c18505423,4d9b4d24674ca14361d8cf43,4c654e7fcdb6e21e15b4343e,4ff8cd62e4b0c98ddd82be32,51cee768498ebe6be9d6be71
1,6.0,2.0,3.0,2.0,5.0,6.0,3.0,5.0,4.0,5.0,6.0,1.0,3.0,2.0,5.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,2.0,6.0,6.0,5.0,4.0,6.0,3.0,5.0,5.0,3.0,2.0,2.0,1.0,6.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,3.0,6.0,3.0,2.0,5.0,1.0,6.0,1.0,4.0,1.0,1.0,4.0,5.0,5.0,6.0,5.0,1.0,6.0,4.0,6.0,2.0,6.0,6.0,3.0,6.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,5.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,2.0,2.0,5.0,5.0,1.0,5.0,3.0,2.0
2,2.0,6.0,3.0,3.0,1.0,6.0,4.0,6.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,6.0,5.0,4.0,4.0,5.0,3.0,6.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,2.0,5.0,6.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,6.0,4.0,2.0,3.0,2.0,5.0,6.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,4.0,4.0,5.0,6.0,3.0,1.0,4.0,1.0
3,3.0,3.0,2.0,5.0,6.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,6.0,5.0,3.0,5.0,1.0,3.0,5.0,1.0,1.0,5.0,6.0,5.0,4.0,2.0,3.0,4.0,6.0,2.0,6.0,5.0,6.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,2.0,1.0,5.0,2.0,6.0,1.0,5.0,6.0,6.0,1.0,6.0,6.0,2.0,6.0,6.0,3.0,3.0,4.0,5.0,6.0,4.0,6.0,1.0,5.0,2.0,5.0,6.0,6.0,6.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,6.0
4,4.0,2.0,4.0,1.0,3.0,1.0,2.0,6.0,5.0,2.0,6.0,3.0,6.0,3.0,3.0,1.0,6.0,6.0,4.0,6.0,2.0,2.0,3.0,1.0,6.0,3.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,3.0,6.0,2.0,1.0,3.0,3.0,5.0,4.0,1.0,2.0,4.0,1.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,2.0,4.0,2.0,3.0,6.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,2.0,6.0,3.0,5.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,6.0,2.0,4.0,4.0,2.0
5,3.0,4.0,3.0,4.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,1.0,5.0,2.0,5.0,3.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,5.0,6.0,2.0,6.0,3.0,3.0,2.0,2.0,5.0,2.0,6.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,5.0,5.0,2.0,3.0,6.0,6.0,5.0,3.0,6.0,3.0,3.0,2.0,5.0,6.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,5.0,1.0,6.0,3.0,4.0,2.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,6.0,5.0,4.0,6.0,2.0,5.0,5.0,6.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,4.0
6,5.0,2.0,6.0,1.0,4.0,4.0,1.0,6.0,1.0,4.0,2.0,4.0,3.0,6.0,5.0,6.0,2.0,1.0,6.0,3.0,1.0,4.0,3.0,1.0,5.0,6.0,1.0,6.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,5.0,6.0,1.0,3.0,4.0,1.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,4.0,1.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,1.0,6.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,6.0,2.0,4.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,4.0,1.0,6.0,3.0,5.0,3.0,6.0,2.0,5.0
7,4.0,5.0,5.0,6.0,4.0,4.0,1.0,5.0,2.0,1.0,6.0,1.0,6.0,4.0,5.0,6.0,3.0,5.0,4.0,6.0,6.0,6.0,1.0,6.0,6.0,5.0,1.0,2.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,6.0,4.0,1.0,3.0,3.0,6.0,6.0,5.0,1.0,6.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,6.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,6.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,1.0,5.0,1.0,2.0,3.0,6.0,6.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,6.0,2.0,3.0,2.0,5.0
8,6.0,2.0,2.0,5.0,4.0,5.0,1.0,6.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,6.0,3.0,2.0,4.0,1.0,6.0,3.0,5.0,4.0,1.0,5.0,2.0,4.0,2.0,3.0,3.0,6.0,3.0,3.0,6.0,1.0,2.0,5.0,1.0,5.0,6.0,3.0,6.0,3.0,2.0,2.0,1.0,6.0,6.0,6.0,2.0,3.0,6.0,4.0,6.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,6.0,1.0,6.0,5.0,4.0,6.0,3.0,5.0,4.0,1.0,6.0,5.0,3.0,6.0,6.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,1.0,1.0,4.0,6.0,1.0,6.0,2.0,6.0,4.0,6.0,1.0,3.0
9,2.0,3.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,6.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,6.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,2.0,6.0,6.0,5.0,1.0,6.0,6.0,4.0,2.0,4.0,6.0,3.0,1.0,3.0,6.0,2.0,1.0,5.0,4.0,4.0,4.0,5.0,6.0,2.0,5.0,1.0,2.0,3.0,6.0,6.0,4.0,6.0,1.0,1.0,2.0,6.0,2.0,2.0,3.0,5.0,2.0,2.0,5.0,5.0,6.0,2.0,4.0,3.0,2.0,6.0,3.0,1.0,4.0,3.0,6.0,3.0,5.0,6.0,2.0,6.0,2.0,5.0,3.0,3.0,5.0,4.0,6.0,4.0,4.0,2.0,2.0,5.0,4.0
10,4.0,4.0,1.0,6.0,1.0,4.0,3.0,6.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,3.0,5.0,2.0,5.0,1.0,6.0,6.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,6.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,6.0,6.0,1.0,5.0,5.0,5.0,1.0,4.0,3.0,2.0,3.0,6.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,5.0,2.0,3.0,4.0,1.0,4.0,1.0,6.0,4.0,1.0,6.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0,1.0,4.0,4.0,2.0,3.0,5.0,6.0,3.0,4.0,3.0,3.0,4.0,1.0,6.0,5.0,5.0,2.0,3.0,6.0,1.0,2.0,5.0,5.0
