User ID,4cdfdbdcaba88cfaf9d14bd7,4de6fe2e2271df8061ab94d0,4e51ba5bfa7626401eca1b0a,4ea9875402d5b8174ee2f94e,4df47e9a45dd4e2693445485,4d7312b427ddb60cffefd71b,4db4908b4b226b343d9035d2,4b058802f964a52026ac22e3,4db144144df03036e8ca76b1,4efc3495775bec14295136b2,4ce50509d678a1cdb609ad0c,4e3e19cf8877b00cfc514639,515a71f4e4b01aae782515a6,4cce46da7c2ff04dca26a47e,4d9c727da695721ead9afa0c,5a62d0a5b1538e09f16b5723,58e0a0d5ca10703b62bd40ea,50dbaa6ee4b0ed9af2c897a6,4f42548ce4b0d395c957f365,55dcd219498e34e4483d9954,53e341aa498e290e522dcda9,4dd3a2c6ae6009a5122467c2,562a7ae3498e06f68d788651,50abc358e4b0319a10be9abb,50d5cae5e4b0e0139dc8bc1c,52e2a1ed498e9fc7484937bc,4f549cc0e4b0238460bba1cb,4fa5cface4b09d4d45e8f6a3,4e22ab4d7d8b71715bb7e0d9,4d7618e5004b37048198fd93,4d8c02efe627530cb402a6b4,4d7dd12f2ff9b60c951ca147,4df9532014959516a961b82e,4e3baea9cc3f6517531ba60e,4efc351a775bec1429519a9d,4fb8ba45e4b08a09e666101e,4ec78c729adf9c7bf31657fd,4ca026d37c096dcbdce4e4d1,4cdf87f93644a0939047539f,4f8e9145e4b0476e3ac83272,4ecf68e2722e01c5811eb116,4f0a82bbe4b0945c6d0eaa8c,4e807fb2d3e338fcdb48aae4,4f02b3d761af974bd0b6a6f2,4d7bc0a36152b60cb1b48426,4cd4de5c4ebba0909437a9d6,4f3733e5e4b0d26ba0d39104,4b5a99f3f964a5203ecd28e3,50891273e4b09b0239ad7bd8,50b4af2be4b0ab444b43b196,4d007b4c6edfa09362740c15,5072f80ae4b0339d31ff7fbe,504c5b16e4b09586584d5ad3,569908dc498e9c7551c3f309,50e05a88e4b0b76a2f1dd3f6,5a41b5f81b0ea523e1826e4b,51a1c5c3498e210b6a025579,55f5288c498e6d7c7749f4af,50b57647e4b0cf2e770b6b7e,510d0d81e4b04f29d44c0c35,50e2b55be4b0e3d2d3232fe2,5136f39ee4b00112b93130ce,5423793c498ee292b1560218,564eb91d498ee3d90e716b5b,5a952dc6872f7d5f96b0a40b,583a590100841a1ae3a01bdb,51519ab9e4b0ee7aa27b8972,52bacfe7498e86988f7e458e,50af426be4b00b39bc70c1ea,5a0e9ce0b04056129dab8c46,59b652c3f96b2c7bd78a8f55,59684d475455b223c7e518e4,58a84021fd27166ea4484a3a,59db20c7851de56e22455b7d,59ace375772fbc31796e9fd4,51a9f890498e5c2e3349851a,503b4082e4b07c3e087cea6d,515802fee4b00f5f9d72b2b7,50c49cb3e4b09f06825c5b7f,513cdb25e4b0f92987e97315,558846b9498ef7e23df12da7,51216c8ae4b0b8daf3f2ae73,592527f6a0215b75aabe5ce9,4fe0a038e4b0ac20beea04af,4cd3b99c04c2236a3211cfc7,57e3ab30498effe808905b6d,561277d5498e3a90047e0230,59736c460802d42bc8a97b29,4faf8522e4b0815908417a01,4d6ce63d8183a143d3679b9f,582b08e24664853c7a91d47c,566dfabb498e9136a23d5343,4d5c7bd09c31b60c5e9db5ee,52b7faf8498e43b4e5dc6a2b,508fc83be4b03b8013708a00,5396ecf8498ea919cfbe026b,4d2946c46e27a1436b6b2324,544338e1498ed784c348ce28,5340f1f6498ed92899213012,4ff301cae4b07e2ae4266853,4f1a5cd6e4b0c74ef0c238d7,56f28452498e6f4f3a3c59fb,4dd7dde9d22d38ef42f2931d,4ec8a1957ee537da7ff74927,4de8791b45dde4a28d512e79,571af5da498e92ae024c9f0a,4c593cc16407d13a56a6b128,56b2b865498ef0fe78662941,4f07abefe4b0a2229a158b26,4fc0be64e4b08acaf45abb6c,4d2191bb16cfb60ce96c6261,4fe951d2e4b0c4fd681d5b43,50e148bae4b0bc86b3a395b4,54197a0d498e29da7b371a75,52dcdab011d29aa4138664db,4cb583349c7ba35daecd8a06,4bc55fb15935c9b632e7a5d2,4d8e1bf7d08559417bbc0487,5215e604498e32b7d35e2240,50183393e4b0778d7c5379fb,54d6ab8b498ee4cba234afc9,4f5bdf31e4b035e313f563e8,52e4bf5f498ed0ece75671a4,5143e183e4b0251c23da0473,53a97622498e83582d8fb3cf,577fa4e0498e1086c2e93a16,4f645e1be4b0aa8f66f68d0a,56b9688938fad031f5b45f6a,5009ff0be4b051062098749f,51724fbde4b043edbe057825,515d6baee4b07830f0f750d3,529983da11d20334aea45bcc,5a9937969deb7d14379db6d5,55325757498e3816effb15ca,4f9a12a8e4b0c9c97d09f757,51218a47e4b016a07d9af74b,4df4560114954f21cf319776,4cd667ca89eb6dcbe85d2f1e,54d7b773498e446845a2ff52,578c1f18498edc44cf47c66a,4c1744dbcd4bc9b6a09f4feb,55b396bd498e454675ac5e43,52c79e27498e664b06688dd2,50352188e4b072ffdc026690
1,4.0,2.0,5.0,1.0,5.0,5.0,5.0,6.0,3.0,1.0,1.0,6.0,5.0,3.0,2.0,4.0,5.0,3.0,1.0,3.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,6.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,6.0,6.0,1.0,1.0,3.0,4.0,3.0,6.0,1.0,5.0,5.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,6.0,2.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,6.0,5.0,6.0,5.0,2.0,1.0,1.0,5.0,3.0,2.0,3.0,6.0,2.0,4.0,5.0,3.0,5.0,6.0,1.0,1.0,5.0,6.0,5.0,4.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,6.0,4.0,6.0,6.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,1.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0
2,2.0,1.0,1.0,5.0,2.0,6.0,6.0,6.0,1.0,3.0,6.0,6.0,5.0,6.0,5.0,4.0,3.0,2.0,6.0,5.0,1.0,5.0,4.0,2.0,6.0,6.0,5.0,1.0,4.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,5.0,6.0,3.0,1.0,5.0,5.0,6.0,3.0,3.0,2.0,3.0,1.0,4.0,6.0,5.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,5.0,6.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,6.0,6.0,3.0,4.0,6.0,1.0,2.0,5.0,6.0,2.0,4.0,5.0,6.0,5.0,4.0,2.0,1.0,2.0,1.0,2.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,6.0,4.0,2.0,4.0,3.0,3.0,6.0,3.0,3.0,6.0,5.0,5.0,3.0,3.0,5.0
3,2.0,1.0,5.0,4.0,6.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,6.0,6.0,3.0,1.0,2.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,6.0,4.0,1.0,5.0,6.0,5.0,2.0,1.0,2.0,4.0,1.0,6.0,1.0,3.0,5.0,2.0,5.0,5.0,3.0,6.0,3.0,5.0,4.0,6.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,6.0,4.0,3.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,5.0,1.0,5.0,5.0,6.0,3.0,3.0,6.0,1.0,5.0,6.0,2.0,6.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,5.0,2.0,6.0,1.0,2.0,6.0,4.0,4.0,6.0,2.0,4.0,4.0,6.0,5.0,6.0,4.0,1.0,2.0,4.0,5.0,2.0,4.0,3.0,5.0,1.0,6.0,3.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0
4,5.0,2.0,6.0,5.0,1.0,4.0,1.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,6.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,3.0,2.0,2.0,6.0,6.0,5.0,4.0,4.0,6.0,3.0,6.0,1.0,2.0,5.0,6.0,6.0,6.0,6.0,2.0,5.0,6.0,1.0,1.0,1.0,6.0,1.0,4.0,6.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,6.0,4.0,1.0,5.0,5.0,3.0,5.0,1.0,3.0,4.0,2.0,1.0,3.0,6.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,6.0,3.0,5.0,3.0,2.0,4.0,6.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,6.0,5.0,2.0,6.0,3.0,6.0,5.0,3.0,4.0,4.0,6.0,1.0,6.0,1.0,2.0,6.0,3.0,5.0,2.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,2.0,5.0
5,1.0,6.0,4.0,2.0,6.0,1.0,6.0,2.0,3.0,3.0,1.0,3.0,6.0,3.0,2.0,6.0,4.0,1.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,5.0,2.0,6.0,1.0,2.0,5.0,1.0,2.0,2.0,6.0,1.0,4.0,5.0,3.0,6.0,6.0,6.0,4.0,5.0,2.0,3.0,6.0,3.0,6.0,6.0,3.0,3.0,1.0,2.0,5.0,1.0,6.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,6.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,6.0,3.0,3.0,1.0,6.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,5.0,3.0,4.0,6.0,6.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,5.0,4.0,6.0,6.0,4.0,6.0,3.0,5.0,3.0,5.0,6.0,1.0,6.0,3.0,3.0
6,5.0,2.0,6.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,6.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,6.0,2.0,6.0,3.0,5.0,1.0,2.0,4.0,5.0,4.0,1.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,5.0,6.0,5.0,2.0,5.0,5.0,6.0,5.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,6.0,2.0,3.0,2.0,2.0,2.0,6.0,4.0,3.0,1.0,6.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,6.0,3.0,4.0,5.0,4.0,6.0,6.0,1.0,4.0,5.0,3.0,1.0,2.0,2.0,6.0,4.0,1.0,4.0,5.0,3.0,1.0,6.0,1.0,5.0,1.0,3.0,4.0,6.0
7,2.0,1.0,2.0,2.0,4.0,6.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,5.0,6.0,5.0,1.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,6.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,1.0,4.0,6.0,6.0,4.0,3.0,1.0,5.0,2.0,4.0,2.0,6.0,5.0,1.0,5.0,5.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,6.0,3.0,6.0,4.0,1.0,3.0,2.0,6.0,4.0,6.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,5.0,2.0,6.0,4.0,1.0,2.0,2.0,6.0,4.0,5.0,4.0,1.0,1.0,5.0,6.0,5.0,1.0,2.0,5.0,3.0,4.0,5.0,2.0,6.0,5.0,4.0,4.0,3.0,1.0,6.0,3.0,3.0,1.0,6.0,5.0,3.0,1.0,3.0,1.0,4.0
8,2.0,3.0,5.0,6.0,4.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,3.0,5.0,3.0,6.0,3.0,2.0,5.0,1.0,2.0,6.0,4.0,5.0,6.0,3.0,5.0,3.0,6.0,5.0,2.0,1.0,5.0,5.0,2.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,6.0,2.0,6.0,1.0,5.0,3.0,2.0,4.0,2.0,6.0,2.0,5.0,6.0,5.0,1.0,2.0,2.0,6.0,1.0,4.0,2.0,3.0,5.0,6.0,3.0,5.0,1.0,5.0,2.0,3.0,5.0,6.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,6.0,2.0,3.0,2.0,6.0,5.0,1.0,3.0,1.0,6.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,6.0,2.0,6.0,1.0,5.0,1.0,2.0,3.0,5.0,4.0,6.0,1.0,5.0,3.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,6.0,5.0,6.0,1.0,4.0,1.0,5.0,5.0
9,5.0,5.0,3.0,3.0,1.0,6.0,3.0,2.0,6.0,4.0,6.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,5.0,3.0,1.0,6.0,4.0,5.0,2.0,2.0,3.0,3.0,6.0,4.0,5.0,6.0,2.0,6.0,5.0,6.0,1.0,6.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,5.0,3.0,5.0,2.0,3.0,1.0,2.0,6.0,3.0,4.0,6.0,1.0,1.0,6.0,2.0,2.0,5.0,1.0,3.0,5.0,6.0,5.0,2.0,6.0,4.0,6.0,3.0,1.0,2.0,6.0,6.0,2.0,2.0,2.0,6.0,1.0,3.0,3.0,4.0,5.0,2.0,6.0,5.0,1.0,3.0,4.0,3.0,6.0,6.0,3.0,3.0,1.0,6.0,4.0,3.0,3.0,4.0,3.0,6.0,5.0,1.0,1.0,6.0,6.0,6.0,3.0,2.0,5.0,1.0,5.0,3.0,4.0,6.0,6.0,3.0,6.0,2.0,4.0,5.0,3.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,3.0,5.0,3.0,2.0
10,2.0,5.0,1.0,6.0,6.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,6.0,6.0,4.0,5.0,1.0,2.0,4.0,6.0,4.0,6.0,2.0,4.0,1.0,5.0,5.0,6.0,1.0,4.0,1.0,6.0,1.0,5.0,4.0,6.0,6.0,4.0,4.0,3.0,5.0,1.0,3.0,1.0,4.0,6.0,3.0,4.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,4.0,3.0,4.0,6.0,4.0,4.0,6.0,6.0,6.0,3.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,2.0,6.0,1.0,2.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,2.0,4.0,4.0,1.0,6.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,6.0,4.0,4.0,3.0,1.0,5.0,3.0,6.0,4.0,6.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,6.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,1.0,6.0,6.0,5.0,6.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,6.0,5.0
