User ID,4bcb182f937ca593a3d3a892,4c5ca3217735c9b6a9f08c72,509e941ae4b091ce315a1878,4fc6712ed5fb77c0d308cad0,4e74b500483b0cf5ec66b033,4fa1a4c4be779d7a08db93ca,4ed963707bebc29454b584dc,50e7557719a987828f27bd89,4e3edf27b0fb875af875462b,51939c2e498e01962d1f00ca,4d84d0b4e83fa1430ab46ba1,51280fe4e4b07aedbed347ae,4b8148a6f964a5208a9d30e3,4e0786ead22d658532a6a7fa,579e3a21498e2f4295450ef0,4f19b58de4b0b62f9b9cd219,4ebd24390aaf88633ba037a7,51bcc9f1498e13ed8e151d39,4f10b08de4b067840ff8e7c6,4d48db444a6d8eece050232d,4f8067b2e4b050ced5c69e45,51eafd31498e84396617c7db,51364ff3e4b0bb44a70d2160,4e389875b61c438b547ec1f9,515e110de4b0347cbbd73be5,4bfd96cd55539c74c1b1bcf3,4ed3de285c5c9528fd50c8ab,4fbceac6e4b05c99c4494d92,4f4d3360e4b00b42c4011fc8,4f3ad033e4b0e3d3db93436c,51e84a8a498e59907414bfac,4f8312cae4b0e533aed4f567,517c27f6e4b0f7d84938d378,4dcaf63bfa76d745f04a6738,4e4ae6d73151524c3daecf66,5287a1e811d28b7431fe0987,4cb0abe01463a1434a039fa9,4c2cf4a3e760c9b66e0c4449,502ef809e4b07a83cb2b41fb,590488f8f96b2c6e695a4055,4f077e96e4b0803b67d6241b,4f2099dde4b07fb2483c8bcd,4b48b61cf964a520b25326e3,5320bec8498e0ca4c39b5423,4fe6826de4b051b5c221f99f,4fca9f12e4b053b8ae8e509b,51a7ba16498e7bc12e95f929,546e758b498e2d4d055ef484,4f53eecfe4b03be36498bbd8,5ac37c2a56c89f26db54d40f,4b897f4df964a5201a3c32e3,4de44ac87d8b2547eb306b49,4e84c868cc21ac539cb13903,4e7d091202d5d1c5cb9b03bb,4e5ed9b0b61c4bf380084d15,4e84bfbaf790320b383c7df5,49eba029f964a52004671fe3,51fd3669498e0dcf814c3d08,501dbe12e4b03fc922c14781,5998756786f4cc3e71a99c4e,59a3a351002f4c019a591ba5,529a5a8c11d2e90d47df1d66,4a982df7f964a520d42a20e3,54b6dab7498eb25a3441c9bd,4ddd310cae60d6fc159de018,58ebe94026a953247d9522bf,4c8d1417ed3ab60c454d6d21,57888ab7498ebc33ed3609da,57d2b94a498efd624a4e388c,4bbffa7f2a89ef3b4d01f088,3fd66200f964a52009e31ee3,591e30315a2c913ed270170c,4f56f3fce4b0925ee160ed69,50141a65e4b035d9f4887aae,4ca632ec931bb60c700a91e2,4f32c0dc19836c91c7f6c695,4f6f98c5e4b0a4e2119787f1,4d7bedaa7498a1cd0f1174fc,4e6f577e1f6e63a4eab581d2,4f32c2bf19836c91c7f79852,4cb12b4fb4b0a35d1d0050ce,4e848485e5fa2e2852c6def6,4c1acbb863750f47e0f3b367,4f936f3de4b03c10537487bd,4c5390f36a4bb71358481027,4f34d045e4b0aa70b2b8e0bd,4c16d1b3127f9521e94b2525,50145f23e4b0e259d3457472,4d0e31d93bbaa143ca5d41da,55ecd55e498e6eaf2e0e26cd,4fc56dcbe4b07a1f70f0e2f8,4f32b8c919836c91c7f34111,4f32d02019836c91c7fd7ba0,4fe5c6c3e4b0b484a455ac39,4e797b478998654c74c288e6,5321f5c2e4b07946702ea3b4,51d5f7a8498e62117a44aff8,55aea930498e6bcca1da0795,4d6b0f182bf054817085cbed,4b92e9f1f964a5208a2634e3,51c49a67498e5630379fe082,4decff348877a0f0c1c88f5f,4e1ddbcaa809ef911ebfc6aa,4c38d41e1e06d13afa7e783e,4f32903e19836c91c7e40ac3,3fd66200f964a5209fea1ee3,5878a3e5d6fe9047487ca71a,4f60f55de4b0bedb0c5991bc,42001800f964a520581f1fe3,4b75e189f964a520b72b2ee3,4bd656e95631c9b6d0d6a530,4a436c34f964a52085a61fe3,4f32745619836c91c7d9694a,4e4c3dd6bd413c4cc667e41e,4f32740819836c91c7d94d86,4fe796b5e4b0c7d6bbb0272f,4f32a84a19836c91c7ed1858,4f32239f19836c91c7b9f6f1,4fe76456e4b0c9ca8a5a1b10,52eaf1a8498e2f7ee7a04f80,4c901a9b6fbf224b0516518f,4d041fafdc45a093ec63e8c6,572e8c5e498e77d16b70ee75,5737bb27498e2f6dc589e619,57389dda498e87636554c827,4f32044219833175d60a087f,5172c075e4b0f71f6b4df9eb,4f299cc5e4b0acec38a85e24,4f3244cb19836c91c7c6ea85,4c6c0a14f2846dcb37c161e9,4d0438328620224bdfe6a740,4f32033b19833175d609a4a7,5735cf9b498e912a9da56cbe,4f32390719836c91c7c240ce,4f32b14319836c91c7f06b1e,4f44558719836ed0019387eb,4f32381519836c91c7c1ded3,4c142284a1010f47b3fa4b18,4f3276d019836c91c7da58d0,4e2c66f1d4c0e5c89aceb914,4f3278a719836c91c7db0bc5,4f32503919836c91c7cb71c7,4b9124adf964a52052a633e3,5005ba4ee4b07abf8626d40c,4d2e42c879dd6ea8a0af87d3,594701d542d8c2427026b81a,4eebdf7ed3e3246bd97bdf2a,4dcc8505d164679b8cd1655c,4cefff9462ef6dcbace4015a,4d7aa447a1236dcb4b2ae35e,50425c31e4b0b5223e12fc85,4e91ae306da174e28eb8df4b,4da9e1a00f2ce1d3836bfca0
1,3.0,2.0,5.0,5.0,6.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,4.0,2.0,6.0,4.0,2.0,2.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,5.0,6.0,1.0,5.0,5.0,6.0,5.0,2.0,5.0,3.0,4.0,3.0,6.0,4.0,1.0,4.0,1.0,2.0,5.0,3.0,6.0,2.0,5.0,3.0,2.0,1.0,1.0,6.0,4.0,6.0,5.0,1.0,3.0,6.0,1.0,4.0,1.0,1.0,6.0,3.0,3.0,6.0,4.0,1.0,3.0,4.0,6.0,4.0,1.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,6.0,1.0,5.0,6.0,3.0,2.0,4.0,2.0,6.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,6.0,4.0,6.0,1.0,5.0,5.0,2.0,1.0,6.0,6.0,5.0,5.0,1.0,4.0,3.0,2.0,1.0,6.0,3.0,5.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0,4.0,2.0,3.0,6.0,1.0,3.0,5.0,4.0,5.0,5.0,6.0,6.0,1.0,2.0,6.0,4.0,1.0,1.0,1.0,5.0,4.0
2,4.0,1.0,6.0,1.0,6.0,1.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,6.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,6.0,1.0,3.0,5.0,2.0,1.0,4.0,5.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,6.0,5.0,5.0,6.0,4.0,2.0,1.0,6.0,4.0,6.0,3.0,5.0,2.0,2.0,4.0,6.0,6.0,6.0,2.0,1.0,6.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,6.0,2.0,1.0,4.0,3.0,2.0,3.0,5.0,6.0,1.0,3.0,6.0,3.0,5.0,1.0,5.0,3.0,6.0,1.0,6.0,3.0,6.0,3.0,6.0,6.0,1.0,3.0,1.0,1.0,6.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,1.0,4.0,3.0,1.0,1.0,2.0,6.0,3.0,6.0,6.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0
3,3.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,6.0,5.0,3.0,2.0,2.0,5.0,1.0,6.0,6.0,5.0,1.0,4.0,2.0,4.0,4.0,4.0,6.0,3.0,2.0,5.0,2.0,4.0,6.0,1.0,5.0,2.0,6.0,4.0,3.0,5.0,3.0,2.0,1.0,3.0,2.0,6.0,4.0,5.0,5.0,1.0,6.0,6.0,1.0,3.0,6.0,5.0,6.0,4.0,2.0,5.0,2.0,6.0,2.0,1.0,5.0,2.0,4.0,2.0,6.0,6.0,1.0,4.0,1.0,1.0,5.0,3.0,6.0,1.0,3.0,5.0,3.0,2.0,6.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,5.0,1.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,6.0,3.0,4.0,3.0,6.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,6.0,2.0,4.0,4.0,1.0,6.0,6.0,4.0,5.0,1.0,3.0,6.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,3.0
4,6.0,5.0,5.0,6.0,1.0,4.0,6.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,5.0,6.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,1.0,5.0,2.0,6.0,5.0,1.0,6.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,3.0,6.0,4.0,2.0,5.0,3.0,6.0,5.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,6.0,1.0,2.0,1.0,5.0,1.0,2.0,6.0,6.0,5.0,4.0,3.0,3.0,1.0,6.0,6.0,2.0,6.0,4.0,5.0,5.0,1.0,3.0,6.0,1.0,6.0,6.0,3.0,3.0,6.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,6.0,3.0,6.0,5.0,2.0,1.0,5.0,1.0,6.0,2.0,4.0,6.0,3.0,6.0,5.0,5.0,6.0,1.0,3.0,3.0,6.0,2.0,1.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,5.0,6.0,1.0,4.0,4.0,6.0,2.0
5,1.0,2.0,6.0,3.0,4.0,4.0,1.0,5.0,5.0,6.0,5.0,1.0,2.0,2.0,4.0,1.0,4.0,6.0,1.0,3.0,6.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,6.0,2.0,6.0,3.0,3.0,5.0,5.0,3.0,4.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,3.0,6.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,4.0,6.0,2.0,3.0,2.0,6.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,6.0,1.0,1.0,6.0,6.0,6.0,4.0,2.0,6.0,2.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,6.0,6.0,6.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,5.0,4.0,2.0,5.0,3.0,3.0,1.0,4.0
6,6.0,4.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,5.0,2.0,2.0,5.0,2.0,5.0,6.0,5.0,3.0,1.0,1.0,5.0,3.0,6.0,2.0,1.0,6.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,6.0,1.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,6.0,2.0,3.0,3.0,6.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,6.0,3.0,6.0,1.0,4.0,5.0,1.0,5.0,6.0,6.0,3.0,5.0,3.0,6.0,6.0,2.0,3.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,6.0,2.0,6.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,6.0,5.0,2.0,3.0,6.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,5.0,6.0,5.0,1.0,5.0
7,5.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,5.0,6.0,1.0,4.0,1.0,2.0,6.0,3.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,4.0,6.0,1.0,4.0,6.0,3.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,6.0,5.0,5.0,2.0,3.0,1.0,2.0,4.0,6.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,6.0,4.0,2.0,2.0,5.0,2.0,5.0,6.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,6.0,4.0,1.0,5.0,6.0,1.0,2.0,1.0,6.0,4.0,4.0,5.0,3.0,3.0,5.0,6.0,3.0,5.0,1.0,4.0,2.0,5.0,5.0,4.0,6.0,1.0,6.0,1.0,4.0,2.0,4.0,3.0,6.0,3.0,5.0,6.0,6.0,5.0,4.0,2.0,4.0,1.0,6.0,3.0,2.0,4.0,1.0,4.0,4.0
8,4.0,1.0,3.0,4.0,1.0,3.0,1.0,6.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,6.0,4.0,6.0,1.0,3.0,6.0,5.0,5.0,6.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,4.0,6.0,4.0,3.0,6.0,6.0,1.0,4.0,1.0,6.0,5.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,6.0,6.0,6.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,4.0,1.0,5.0,6.0,4.0,6.0,3.0,3.0,6.0,3.0,6.0,5.0,3.0,5.0,2.0,5.0,1.0,2.0,4.0,6.0,3.0,5.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,6.0,2.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,6.0,2.0,1.0,1.0,3.0,4.0,2.0,6.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,3.0,5.0,3.0,4.0,1.0,1.0,6.0,5.0,6.0,4.0,4.0,3.0,6.0,2.0,1.0,1.0,2.0,3.0,2.0,6.0,4.0,1.0,1.0,6.0,4.0,2.0,4.0,2.0,1.0,6.0
9,1.0,3.0,3.0,1.0,6.0,3.0,4.0,1.0,3.0,3.0,4.0,6.0,4.0,6.0,3.0,2.0,1.0,5.0,6.0,4.0,4.0,1.0,2.0,6.0,6.0,5.0,3.0,2.0,2.0,6.0,5.0,3.0,1.0,6.0,5.0,2.0,6.0,2.0,6.0,6.0,6.0,3.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,6.0,4.0,1.0,6.0,6.0,6.0,4.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,3.0,3.0,6.0,5.0,3.0,5.0,3.0,6.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,6.0,6.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,2.0,5.0,2.0,3.0,3.0,6.0,5.0,6.0,2.0,6.0,3.0,5.0,5.0,2.0,1.0,6.0,1.0,1.0,6.0,2.0,5.0,4.0,1.0,4.0,1.0,5.0,5.0,1.0,6.0,2.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,5.0,6.0
10,6.0,1.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,5.0,6.0,2.0,1.0,5.0,6.0,4.0,4.0,4.0,2.0,5.0,6.0,3.0,3.0,3.0,5.0,6.0,2.0,5.0,5.0,3.0,6.0,1.0,3.0,5.0,4.0,1.0,2.0,6.0,3.0,4.0,2.0,5.0,5.0,2.0,6.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,6.0,2.0,2.0,3.0,4.0,5.0,5.0,2.0,5.0,1.0,3.0,4.0,3.0,4.0,6.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,6.0,1.0,3.0,3.0,5.0,5.0,1.0,6.0,2.0,4.0,5.0,5.0,4.0,1.0,2.0,6.0,5.0,6.0,2.0,5.0,6.0,6.0,2.0,6.0,2.0,6.0,6.0,1.0,5.0,6.0,4.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,6.0,2.0
