User ID,513a20b0e4b0de6b88afe45b,502ba235e4b0a87aac59107b,4f34cd11e4b01f8cbc3da7ba
1,2.016776184001327,3.993203867728478,3.9918263008587522
2,3.9939020165929096,1.0176915725427191,4.983576100564014
3,3.9974709198599565,4.98382451513514,2.010430365073264
4,4.987016172493731,2.0099744358619955,1.0128902068838752
5,2.0126753199838427,3.9920696948461636,5.9799931657303835
6,4.986774509460087,2.99939138725254,2.0098577382385683
7,4.983477452713913,3.0007602137765663,5.975898560036643
8,3.9991813612513916,3.9912941484227886,1.0166768367193928
9,2.01882094807762,4.983262092371571,2.007281244487223
10,3.0043786402336563,2.011714120764936,3.992031928788331
