User ID,50f296e1e4b04c17519e70e0,5866942f18384c42bf0995ca,4bbf785db083a593d77fa3e9,4df34eaa88772e1f81533b87,51bc5678498e5ce3eb0c6dbc,4d46729bbf61a1cd4fc31cac,4e71c57ce4cd7aa6d6f40a53,4d440f5ebf61a1cdd39304ac,4bbe3eda79eaef3b07e4aec3,559a8201498e83c3c23d2813,53b944d5498efa33b1503a54,58268878bd894937eef7c144,5630bbd4498ebd921b682626,4dd370e81f6e5374d6da1596,4d96c8440caaa143bb3881b3,528c7b6311d2270ae6d3e08d
1,6.00472156029172,1.008576112399514,3.0018626310469365,3.9972130456242385,2.016681630617585,5.980304401816972,2.0380010509470465,5.023634298406767,2.0489869147040367,4.975692379367446,1.002865201602957,5.000456556511102,4.001777029086835,3.9909437909865337,5.978799762599687,2.0530900517998107
2,1.0205139046779035,0.9923636903604027,4.993732238840519,4.009878547462675,1.0151905157076708,4.01274812304359,4.9961141698217295,3.9966713852064935,4.942123047908818,1.007318921677063,1.021894240503812,2.001679815406507,5.986402974693005,2.0213497048349107,3.0009175952225604,1.9951332155852846
3,5.956884774458801,2.0169866416077937,2.0072306796174075,2.991777137395348,3.003697518643307,3.0024991651094144,2.0124557203032296,5.99792140783415,5.9603151613716205,2.040177363578499,2.992388816520868,4.01400990080508,3.0070726562193797,2.0027549645219223,6.004157602908057,4.979373500017443
4,0.9766667459552227,2.972877089314929,4.000935689103584,4.990306479861431,0.9906145252862841,2.019776088325523,1.0452419079755138,1.0227350211806743,4.997939212696081,0.9956070801078525,5.966941437934748,4.97663716162536,1.0257482455518627,4.961099254384614,2.9892437205098776,0.9965811450366717
5,4.9939609648279415,5.995603033235738,3.0036938395557424,3.018393442700911,2.0172928293012196,2.0322855842816834,3.0154189323324125,1.04437624095491,1.0408270819507837,5.991171360562351,5.001259149891315,6.006043151334222,2.99944330672588,3.022067489772815,4.024314069477985,6.001468757118001
6,5.004245736106149,2.0278483539346204,3.9962268540258585,5.988607612609755,3.9988931682212536,4.995091028283614,4.0153737081547405,1.0395926437247591,1.011484044761922,2.027514865939538,2.0316199264205124,1.0718347514965592,3.99875083864159,4.013429100360089,2.9932840779207024,3.0165171138706555
7,0.9782682000309157,4.0188075971580375,1.054220930950307,3.9772165585076618,3.969880346874597,1.0150646094771925,4.9908916603430376,4.005568686048701,6.001392244820497,3.9981585421841013,5.0047635792407155,5.990666298920158,2.028865638892704,1.0217797337184793,5.97226340138342,5.975973956792305
8,5.987495377327494,1.0354288287854962,3.0178537737860758,5.984789160761124,1.0330447984079725,5.9870261192100696,5.971213395605217,3.0161564418296507,1.043612746330759,3.0051286325486144,4.987665284332023,5.974932386693514,4.00585329972402,3.9986321451685427,3.036570578607123,5.995229011240969
9,4.9462380633062075,2.999700319600172,1.0484273237349433,4.989536701483738,4.010890451262639,3.9915304618734204,2.0155809286138053,3.081805932396196,6.025910314365419,2.985867260417944,1.0142210488035328,6.006404260295431,1.0350455235700595,3.992744804468035,3.0434961131085325,1.9955716548916655
10,1.996895433433298,3.9648670007975015,4.006574387172912,4.990152869512788,5.934936507800295,3.018951540013307,4.004373295441393,5.981487413791081,4.984012737254258,1.0227433245100888,1.0288215240445302,4.9749451421199895,4.007501891264215,3.980430959044372,3.0122779340112924,1.0252826840940674
